oggetto_id,descrizione_breve,descrizione_esamina
01,coltellino svizzero dell'hacker,dispositivo multifunzione per hackerare sistemi elettronici e utile per decifrare file. Il resto è da scoprire...
02,tesserino di riconoscimento della polizia,tesserino di riconoscimento della polizia
03,bigliettino da visita, indizio con l'indirizzo della clinica del dott. Tanaka
04,dispositivo medico,dispositivo medico che contiene un virus letale
05,cartella clinica della vittima,documenti medici che includono dettagli sui trattamenti recenti
06,registro degli appuntamenti,elenco delle visite alla clinica che contiene indizi importanti
07,computer del dott.Tanaka,terminale bloccato da una password, contiene software compromettente
08,mazzo di chiavi,chiavi che permettono di aprire porte e cassetti importanti
09,dispositivo di archiviazione,dispositivo di archiviazione contenente file che collegano sato al caso
10,ritaglio di giornale,articolo che racconta la morte della sorella di sato e fornisce un possibile movente
11,note mediche,documenti che confermano esperimenti non etici del dott. Tanaka
12,terminale,terminale generico utilizzato per analizzare prove e decifrare file
13,impiegata dell'ospedale,impiegata che può fornire informazioni utili
