edificio_id,stanza_id,descrizione_breve,descrizione_completa
01,01,"Sei nella uscita laterale. Il rumore della città si sente in lontananza.","Una piccola uscita laterale dell'ospedale, poco frequentata. Il rumore della città si sente in lontananza. La porta sembra essere socchiusa e un piccolo spiffero di aria fredda ti colpisce."
01,02,"Sei nell'ingresso. L'atmosfera è caotica.","L'ingresso principale dell'ospedale è affollato di persone. Infermieri e pazienti si muovono freneticamente. Un cartello digitale indica le direzioni per i vari reparti e un odore di disinfettante aleggia nell'aria."
01,03,"Sei nella reception.","La reception dell'ospedale è presidiata da un'assistente indaffarata al telefono, che ti guarda con un'espressione impaziente. La scrivania è piena di documenti e un computer è acceso. Un piccolo cartello indica le regole per le visite."
01,04,"Sei nella sala d'attesa.","Una sala d'attesa con sedie di plastica e riviste sparse. L'aria è pesante e alcuni pazienti attendono in silenzio, tra espressioni di preoccupazione. Sul muro noti un avviso ingiallito."
01,05,"Sei nella cappella.","Una piccola cappella silenziosa, con candele accese che creano un'atmosfera di riflessione. Le panche di legno sono vuote e un piccolo crocifisso si staglia sul fondo."
01,06,"Sei nel corridoio.","Un corridoio lungo e stretto, illuminato da luci al neon che creano lunghe ombre. Si sentono passi in lontananza e le porte ai lati sono socchiuse. Sulla parete è presente un cartello dei piani dell'ospedale."
01,07,"Sei nel corridoio.", "Un altro corridoio, con porte socchiuse su entrambi i lati. Un cartello indica la direzione del laboratorio medico e dei segni strani sul pavimento attirano la tua attenzione. Il pavimento emette uno strano rumore quando ci cammini sopra."
01,08,"Sei nella stanza 200.","La stanza è disordinata, con il letto disfatto e i cuscini buttati a terra. Si percepisce un odore strano nell'aria e un bigliettino sul comodino cattura la tua attenzione."
01,09,"Sei nella stanza 201.","Una stanza vuota, con lenzuola pulite e un armadio chiuso. Nessun segno di attività recente e una leggera brezza proveniente dalla finestra aperta crea un leggero fruscio."
01,10,"Sei nella stanza 202.","Una stanza con un paziente addormentato che respira affannosamente. La televisione è accesa a basso volume e un campanello d'emergenza è appeso sopra il letto."
01,11,"Sei nella stanza 203.","La stanza è disordinata, con strumenti medici sparsi sul tavolo. Sembra che qualcuno sia uscito in fretta lasciando a terra un guanto e una fiala."
01,12,"Sei nel corridoio.","Un corridoio che porta agli uffici medici, con file di cartelle mediche archiviate ai lati. Si sente il rumore di una stampante in lontananza e si percepisce l'odore di caffè."
01,13,"Sei nell'ufficio Dr. Chen.","L'ufficio del dott. Chen è ordinato e professionale. Ci sono libri di medicina sugli scaffali e una scrivania pulita e ordinata. Una serie di documenti sono impilati sulla scrivania."
01,14,"Sei nel laboratorio medico.","Un laboratorio pieno di strumenti medici avanzati. Sul tavolo, un pacemaker è pronto per essere analizzato e alcune schede logiche sono sparse sul tavolo."
02,15,"Sei nell'uscita.","Un'uscita di sicurezza nascosta, con una luce rossa intermittente che pulsa ritmicamente. La porta sembra essere bloccata da una barra di sicurezza."
02,16,"Sei davanti alla porta di sicurezza.","Una porta di sicurezza chiusa a chiave. Serve un codice o una chiave per aprirla. Sulla serratura è presente un piccolo lettore digitale."
02,17,"Sei nell'atrio.","Un atrio spazioso con un soffitto alto. Ci sono piante decorative che creano un'atmosfera accogliente e una fontana al centro. Sul muro è appeso un ritratto del dottor Tanaka."
02,18,"Sei nel laboratorio principale.","Il laboratorio principale della clinica, pieno di computer e strumenti high-tech. C'è un registro degli appuntamenti aperto sul tavolo e uno schermo mostra l'interfaccia di un software."
02,19,"Sei nell'ufficio, che si presenta in modo semplice, con una scrivania e una sedia. Sulla scrivania, si intravedono delle chiavi USB e un computer. Ma l'atmosfera è tutt'altro che normale: il corpo del dott. Tanaka giace a terra, senza vita. Poco distante dal corpo, un mazzo di chiavi è caduto, come se qualcuno le avesse perse scappando in fretta. Sembra che qualcuno l'abbia ucciso e sia fuggito via di corsa."
02,20,"Sei nella server room.","Una stanza piena di server e cavi. L'aria è fredda per mantenere i server in funzione e l'ambiente è buio e le luci dei server lampeggiano costantemente. Si sentono strani ronzii."
